Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Guilty Gear X2 #Reload,XB,2004,Fighting,Zoo Digital Publishing,0.11,0.03,0,0.01,86,34,7.6,12,Arc System Works,T
Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007,Action,Tecmo Koei,0,0,0.33,0,,,,,"",""
Garou Densetsu 3: Road to the Final Victory,SAT,1996,Fighting,SNK,0,0,0.05,0,,,,,"",""
Madou Monogatari,SAT,1998,Role-Playing,Compile,0,0,0.03,0,,,,,"",""
International Track & Field 2000,PS,1999,Sports,Konami Digital Entertainment,0.06,0.04,0,0.01,,,,,"",""
Bust-A-Move 4,PS,1998,Puzzle,Acclaim Entertainment,0.12,0.08,0,0.01,,,,,"",""
Major League Baseball 2K11,DS,2011,Sports,Take-Two Interactive,0.08,0,0,0.01,,,,,Visual Concepts,E
Generator Rex: Agent of Providence,DS,2011,Action,Activision,0.05,0.01,0,0.01,,,,,Virtuos,E10+
F1 2012,X360,2012,Racing,Codemasters,0.1,0.34,0,0.05,84,42,6.9,56,Codemasters,E
Guitar Hero 5,Wii,2009,Misc,Activision,0.92,0.48,0,0.15,89,25,6.9,49,Vicarious Visions,T
Robotech: Invasion,PS2,2004,Shooter,Global Star,0.05,0.04,0,0.01,57,33,,,Vicious Cycle,T
Oddworld: Munch's Oddysee,XB,2001,Platform,Atari,0.54,0.16,0,0.03,80,30,8.7,32,Oddworld Inhabitants,T
SpongeBob's Truth or Square (US sales),Wii,2009,Action,THQ,0.38,0.01,0,0,,,,,"",""
Spider-Man: The Movie,XB,2002,Action,Activision,1.07,0.28,0,0.05,79,29,7.5,11,Treyarch,E
Virtua Quest,GC,,Role-Playing,Unknown,0.01,0,0,0,55,19,5.5,12,Artificial Mind and Movement,T
The Powerpuff Girls: Relish Rampage,GC,2002,Action,BAM! Entertainment,0.05,0.01,0,0,,,7.6,5,VIS Entertainment,E
Ben 10 Galactic Racing,Wii,2011,Racing,D3Publisher,0.08,0.03,0,0.01,,,,,Monkey Bar Games,E
Super Robot Taisen OG Saga: Endless Frontier,DS,2008,Role-Playing,Namco Bandai Games,0.07,0,0,0.01,73,22,9,22,Monolith Soft,T
Saru! Get You! Pipo Saru Senki,PSP,2009,Role-Playing,Sony Computer Entertainment,0,0,0.04,0,,,,,"",""
Famista '92,NES,1991,Sports,Namco Bandai Games,0,0,0.28,0,,,,,"",""
Peggle: Dual Shot,DS,2009,Puzzle,PopCap Games,0.11,0,0,0.01,84,17,8.2,21,Q Entertainment,E
Legend of Kay,DS,2010,Action,JoWood Productions,0.06,0,0,0,,,,,Firehazard Studio,E
Attack of the Movies 3D,X360,2010,Shooter,Majesco Entertainment,0.04,0,0,0,38,8,1.7,10,Panic Button,T
Borderlands,PS3,2009,Shooter,Take-Two Interactive,1.2,0.6,0,0.29,83,58,7.9,427,Gearbox Software,M
Glory Days 2,DS,2007,Strategy,Ghostlight,0.08,0,0,0.01,73,28,7.3,6,odenis studio,E10+
3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0,0.06,,,,,"",""
Ape Escape Academy (jp sales),PSP,2004,Misc,Sony Computer Entertainment,0,0,0.13,0,,,,,"",""
The Simpsons Game,PSP,2007,Action,Electronic Arts,0.24,0.54,0,0.3,59,7,6.7,15,"Electronic Arts, Rebellion",T
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.39,0.69,0,0.09,96,57,7.9,3756,Rockstar North,M
The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,2009,Adventure,Namco Bandai Games,0,0,0.23,0,,,,,"",""
Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.1,77,47,7.8,112,Codemasters,M
James Bond 007: Blood Stone,X360,2010,Shooter,Activision,0.2,0.23,0,0.05,62,66,7.1,63,Bizarre Creations,T
Shin Sangoku Musou 6 Special,PSP,2011,Action,Tecmo Koei,0,0,0.11,0,,,,,"",""
Medieval Moves: Deadmund's Quest,PS3,2011,Action,Sony Computer Entertainment,0.13,0.11,0,0.04,61,41,6.5,17,Zindagi Games,E10+
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.74,0.04,0,0.06,57,11,6.7,28,Ubisoft,T
Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,Takara Tomy,0.19,0.02,0.13,0.02,55,12,5.7,11,Takara Tomy,T
Mobile Suit Gundam Side Story III: Sabakareshi Mono,SAT,1997,Shooter,Namco Bandai Games,0,0,0.15,0,,,,,"",""
Darksiders: Warmastered Edition,PS4,2016,Action,Nordic Games,0.02,0,0,0,79,9,8.5,15,Nordic Games Publishing,M
Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,0.12,0.1,0.34,0.05,68,26,8.5,75,Omega Force,T
Need For Speed: Undercover,PS2,2008,Racing,Electronic Arts,0.38,0.08,0.03,0.93,,,6.5,38,Exient Entertainment,T
I Love Puppies,DS,2010,Simulation,Destineer,0.09,0,0,0.01,,,,,Destineer,E
FIFA Soccer 96,PS,1995,Sports,Electronic Arts,0.09,0.06,0,0.01,,,,,"",""
Thief (2014),PC,2014,Action,Square Enix,0,0.09,0,0.01,,,,,"",""
Chicken Run,PS,2000,Adventure,Eidos Interactive,0.07,0.05,0,0.01,75,7,6.2,6,Blitz Games,E
Dynasty Warriors: Gundam 3,PS3,2010,Action,Tecmo Koei,0.11,0.04,0.36,0.02,58,18,7.5,20,"Omega Force, Koei Tecmo Games",T
Fast Food Panic,Wii,2009,Simulation,Nobilis,0.06,0,0,0,57,6,,,MBA International,E
Brain Boost: Gamma Wave,DS,2005,Puzzle,505 Games,0.14,0,0,0.01,40,12,,,Interchannel,E
EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.05,78,30,7,9,SCEE,E10+
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,90,24,8.6,644,SquareSoft,T
Mahjong 300,DS,2011,Puzzle,Avanquest,0,0.03,0,0,,,,,"",""
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,83,50,7,291,Visual Concepts,E
Titanfall,PC,2014,Shooter,Electronic Arts,0.22,0.3,0,0.04,86,29,6.2,1727,Respawn Entertainment,M
Rock Band Country Track Pack,Wii,2009,Misc,MTV Games,0.41,0,0,0.03,,,,,Harmonix Music Systems,E10+
Skylanders SWAP Force,XOne,2013,Platform,Activision,0.22,0.06,0,0.03,,,5.5,43,Vicarious Visions,E10+
Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,Capcom,0.13,0.03,0.06,0.01,62,17,8.2,37,Capcom,M
Mahjong Kakutou Club: Zenkoku Taisenban,PS3,2006,Misc,Konami Digital Entertainment,0,0,0.03,0,,,,,"",""
Batman: Arkham Origins Blackgate,PSV,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.17,0,0.1,61,38,6.8,106,Armature Studio,T
LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1.53,0.81,0,0.24,80,24,7.4,114,Traveller's Tales,E10+
UFC 2009 Undisputed,PS3,2009,Fighting,THQ,1.07,0.44,0.01,0.24,84,58,8.1,47,THQ,T
Overwatch,PS4,2016,Shooter,Activision,0.81,0.85,0.15,0.33,90,31,6.1,1358,Blizzard Entertainment,T
Shaun White Snowboarding: Road Trip,Wii,2008,Sports,Ubisoft,0.93,0.56,0,0.16,78,28,8.7,22,Ubisoft,E10+
Grey's Anatomy: The Video Game,PC,2009,Adventure,Ubisoft,0,0.02,0,0,36,4,3.9,20,Longtail Studios,T
Dead to Rights,GBA,2004,Shooter,Zoo Digital Publishing,0.01,0,0,0,40,5,,,Torus Games,T
Cars,DS,2006,Racing,THQ,0.85,0.04,0,0.07,54,17,2.1,11,Helixe,E
Unlimited Saga,PS2,2002,Role-Playing,Atari,0.1,0.08,0.56,0.03,45,26,3,29,SquareSoft,T
A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,Namco Bandai Games,0,0,0.12,0,,,,,"",""
Buzz! Junior: RoboJam,PS2,2007,Misc,Sony Computer Entertainment,0.11,0.09,0,0.03,,,,,"",""
Princess Saver! Eternal Love for My Lady,PS2,2010,Adventure,Comfort,0,0,0.02,0,,,,,"",""
Nano Assault,3DS,2011,Shooter,Majesco Entertainment,0.08,0,0,0.01,75,8,7.7,18,Shin'en,E10+
NFL Tour,X360,2008,Sports,Electronic Arts,0.09,0,0,0.01,49,35,3.1,45,EA Tiburon,E
iCarly 2: iJoin The Click!,DS,2010,Adventure,Activision,0.25,0,0,0.02,,,,,Big Blue Bubble Inc.,E
Gundam Assault Survive,PSP,2010,Action,Namco Bandai Games,0,0,0.17,0,,,,,"",""
Wonder World Amusement Park,Wii,2008,Misc,Majesco Entertainment,0.04,0,0,0,37,9,4.5,4,Coyote Console,E
Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,0.53,0.42,0,0.14,65,32,8.3,33,LucasArts,T
Tiger Woods PGA Tour 2003,XB,2002,Sports,Electronic Arts,0.35,0.08,0,0.01,88,14,8.5,11,EA Sports,E
The Amazing Spider-Man (DS & Mobile Versions),PSP,2009,Action,Eidos Interactive,0,0.01,0,0,,,,,"",""
Naruto Shippuden: Ultimate Ninja 4,PS2,2007,Fighting,Atari,0.26,0.01,0.13,0.26,,,,,"",""
Samurai Shodown Anthology,PS2,2008,Fighting,Ignition Entertainment,0.07,0.06,0,0.02,,,,,SNK Playmore,T
Starry ? Sky: After Autumn,PSP,2011,Misc,Aqua Plus,0,0,0.01,0,,,,,"",""
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,2015,Action,Namco Bandai Games,0,0,0.02,0,,,,,"",""
Camping Mama: Outdoor Adventures,DS,2011,Simulation,505 Games,0.12,0.05,0,0.02,51,5,,,Racjin,E
WSC Real 11: World Snooker Championship,X360,2011,Sports,Koch Media,0,0.03,0,0,,,,,"",""
Dante's Inferno,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,73,71,7.7,224,Visceral Games,M
The Raiden Project,PS,1995,Shooter,Ocean,0.06,0.04,0.12,0.01,,,,,"",""
The Wild Thornberrys Movie,GBA,2002,Platform,THQ,0.25,0.09,0,0.01,,,,,Human Soft,E
Power Pro Kun Pocket 1+2,GBA,2004,Sports,Konami Digital Entertainment,0,0,0.14,0,,,,,"",""
NCAA Football 10,PS2,2009,Sports,Electronic Arts,0.28,0.22,0,0.07,,,,,EA Tiburon,E
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007,Shooter,Ubisoft,0.35,0.09,0,0.08,61,12,6.4,9,"High Voltage Software, Ubisoft Paris",T
Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,Sega,0,0,0.04,0,,,,,"",""
Moe Moe 2-Ji Daisenryaku 2,PSP,2010,Strategy,System Soft,0,0,0.01,0,,,,,"",""
Space Invaders,2600,,Shooter,Atari,2.36,0.14,0,0.03,,,,,"",""
WCW vs. nWo: World Tour,N64,1997,Fighting,THQ,1.37,0.28,0.03,0.02,,,,,"",""
Vampire Legends: Power of Three,DS,2010,Adventure,THQ,0.07,0,0,0,,,,,DTP Entertainment,E
Earthworm Jim,GBA,2001,Platform,Interplay,0.2,0.08,0,0.01,72,10,5.7,6,Game Titan,E
Jikkyou Powerful Pro Yakyuu Wii,Wii,2007,Sports,Konami Digital Entertainment,0,0,0.14,0,,,,,"",""
Tokyo Xanadu,PSV,2015,Role-Playing,Nihon Falcom Corporation,0,0,0.15,0,,,,,"",""
Kung Fu Panda,X360,2008,Action,Activision,1.91,0.84,0,0.29,75,42,7.4,32,"Luxoflux, Inc.",E10+
Death Jr. II: Root of Evil,PSP,2006,Platform,Konami Digital Entertainment,0.05,0,0,0,68,34,7.3,9,Backbone Entertainment,T
Guitar Hero: World Tour,PC,2009,Misc,Aspyr,0,0.03,0,0.01,,,7.8,9,Neversoft Entertainment,T
Dave Mirra Freestyle BMX 2,XB,2001,Sports,Acclaim Entertainment,0.15,0.04,0,0.01,76,18,8.2,6,"Z-Axis, Ltd.",T
Yokai Watch Busters,3DS,2015,Action,Level 5,0,0,2.29,0,,,,,"",""
Inversion,PC,,Shooter,Namco Bandai Games,0.01,0,0,0,59,6,6.7,107,Saber Interactive,M
Star Wars: The Force Unleashed II,Wii,2010,Action,LucasArts,0.52,0.18,0,0.06,71,10,7.8,31,"LucasArts, Red Fly Studio",T
Battlezone,PSP,2006,Shooter,Atari,0.02,0,0,0,57,13,,,Paradigm Entertainment,E10+
LEGO City Undercover,3DS,2013,Platform,Nintendo,0.52,0.77,0.07,0.11,,,,,"",""
Def Jam Fight For NY: The Takeover,PSP,2006,Action,Electronic Arts,0.08,0,0,0.01,79,25,8.2,16,Aki Corp.,M
Syphon Filter 2,PS,2000,Shooter,Sony Computer Entertainment,1.5,0.55,0.02,0.08,,,,,"",""
Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,0.55,0.38,0,0.06,88,13,9.1,69,Oddworld Inhabitants,T
Harvest Moon 64,N64,1999,Simulation,Pack In Soft,0.25,0.06,0.11,0.06,,,,,"",""
Petz Sports,Wii,2008,Simulation,Ubisoft,0.42,0.01,0,0.04,,,,,"",""
Pictionary,Wii,2010,Puzzle,THQ,0.6,0.19,0,0.07,71,7,,,Page 44 Studios,E
Doukyuusei if,SAT,1996,Role-Playing,NEC,0,0,0.26,0,,,,,"",""
Championship Manager 2010,PC,2009,Sports,Eidos Interactive,0,0.01,0,0,,,,,"",""
Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,DS,2008,Adventure,Namco Bandai Games,0,0,0.02,0,,,,,"",""
BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive,0.72,0.65,0.04,0.28,94,27,8.5,1863,Irrational Games,M
Jikkyou Powerful Pro Yakyuu 2011,PS3,2011,Sports,Konami Digital Entertainment,0,0,0.26,0,,,,,"",""
Over the Hedge,PS2,2006,Platform,Activision,0.45,0.02,0,0.07,58,29,8.6,10,Edge of Reality,E10+
Rise of Nightmares,X360,2011,Action,Sega,0.28,0.13,0.01,0.04,54,56,7.8,44,Sega,M
Sorcery Saga: The Curse of the Great Curry God,PSV,2013,Role-Playing,Rising Star Games,0,0,0.03,0,65,17,7.3,44,Zerodiv,T
Warriors of the Lost Empire,PSP,2007,Role-Playing,Mercury Games,0.05,0,0,0,52,6,7.4,12,Platinum Egg,T
Dead or Alive 2,DC,2000,Fighting,Acclaim Entertainment,0,0,0.14,0,,,,,"",""
All Points Bulletin,PC,2010,Role-Playing,Electronic Arts,0,0.03,0,0.01,,,,,"",""
NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,0.32,0.25,0,0.08,74,13,8,27,NuFX,E
MVP 06 NCAA Baseball,XB,2006,Sports,Electronic Arts,0.25,0.07,0,0.01,75,29,8.6,17,EA Canada,E
Honda ATV Fever,DS,2010,Racing,Storm City Games,0.01,0,0,0,,,,,Beyond Reality,E
Sid Meier's Civilization IV,PC,2005,Strategy,Take-Two Interactive,0.02,0.12,0,0.03,94,50,8.3,909,Firaxis Games,E10+
SingStar Apres-Ski Party 2,PS3,2010,Misc,Sony Computer Entertainment,0,0.06,0,0.01,,,,,"",""
Football Manager 2014,PSV,2013,Sports,Sega,0,0.08,0,0.02,,,,,"",""
Contra III: The Alien Wars,SNES,1992,Shooter,Konami Digital Entertainment,0,0,0.13,0,,,,,"",""
All-Star Baseball 2003,GC,2002,Sports,Acclaim Entertainment,0.12,0.03,0,0,83,16,8,6,Acclaim,E
UFC Undisputed 2010,X360,2010,Fighting,THQ,0.9,0.31,0,0.11,84,70,6.7,80,Yuke's,T
Disney's Magical Mirror Starring Mickey Mouse,GC,2002,Adventure,Nintendo,0.15,0.04,0,0.01,50,9,8.9,10,Capcom,E
Worms Forts: Under Siege,PS2,2004,Strategy,Acclaim Entertainment,0.05,0.04,0,0.01,63,21,8,15,Team 17,T
Patapon,PSP,2007,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.16,86,60,8.7,102,SCE Japan Studio,E
Cabela's Big Game Hunter 2012,PS3,2011,Sports,Activision,0.17,0.03,0,0.03,,,,,Activision,T
Tropico 5,PS4,2015,Simulation,Kalypso Media,0.06,0.16,0.06,0.04,76,17,7.1,110,Haemimont,T
Namco Museum 50th Anniversary (JP sales),PS2,2005,Misc,Namco Bandai Games,0,0,0.02,0,,,,,"",""
Bee Movie Game,PS2,2007,Action,Activision,0.05,0.04,0,0.01,65,11,7.5,4,Beenox,E
Winx Club: Mission Enchantix,DS,2008,Adventure,Konami Digital Entertainment,0.03,0.02,0,0,,,,,Powerhead Games,E
Atelier Iris: Eternal Mana,PS2,2004,Role-Playing,Tecmo Koei,0.08,0.06,0,0.02,74,38,7.7,38,Gust,T
Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.66,0,0.29,88,67,8.8,545,EA Redwood Shores,M
MLB 07: The Show,PSP,2007,Sports,Sony Computer Entertainment,0.26,0,0,0.02,82,12,7.2,10,SCEA San Diego Studios,E
Spectral Souls: Resurrection of the Ethereal Empires,PSP,2005,Role-Playing,Idea Factory,0.03,0,0,0,47,27,8.2,12,"Neverland, Idea Factory",T
Resident Evil: Operation Raccoon City,PC,2012,Action,Capcom,0,0.03,0,0.01,48,8,3.8,188,Slant Six,M
WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ,1.32,1.08,0.04,0.39,,,,,"",""
Mega Man Legends 2,PS,2000,Adventure,Capcom,0.17,0.12,0.1,0.03,76,10,8.8,29,Capcom,E
Pro Baseball Spirits 2015,PSV,2015,Action,Konami Digital Entertainment,0,0,0.13,0,,,,,"",""
Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.3,0.22,0,0.09,70,29,6.9,13,Eurocom Entertainment Software,E10+
Clannad: Mitsumi Mamoru Sakamichi de - Gekan,PSP,2010,Adventure,Prototype,0,0,0.03,0,,,,,"",""
Petz Dogz 2,PS2,2007,Simulation,Ubisoft,0.28,0.21,0,0.07,,,,,Ubisoft,E
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2.03,1.56,0,0.17,79,21,8,29,Maxis,T
Zack & Wiki: Quest for Barbaros' Treasure,Wii,2007,Adventure,Nintendo,0.18,0.16,0.03,0.04,,,,,"",""
Best Friends Tonight,DS,2010,Misc,Ubisoft,0.03,0,0,0,,,,,Ubisoft,E10+
Pictionary,DS,2010,Puzzle,THQ,0.09,0.06,0,0.02,,,,,ImaginEngine,E
Kono Aozora ni Yakusoku o: Melody of the Sun and Sea,PS2,2007,Adventure,Alchemist,0,0,0.01,0,,,,,"",""
MX vs. ATV Untamed,DS,2007,Racing,THQ,0.11,0,0,0.01,61,14,,,Rainbow Studios,E
Shinseiki Evangelion: Battle Orchestra,PS2,2007,Fighting,Broccoli,0,0,0.02,0,,,,,"",""
Fireblade,XB,2002,Action,Midway Games,0.06,0.02,0,0,71,5,,,Kuju Entertainment,T
Harvest Moon: Animal Parade,Wii,2008,Simulation,Rising Star Games,0.58,0.08,0.02,0.05,76,10,8.9,20,Natsume,E
Drakensang: The Dark Eye,PC,2009,Role-Playing,Eidos Interactive,0.02,0,0,0,,,,,"",""
Tron 2.0: Killer App,XB,2004,Action,Disney Interactive Studios,0.04,0.01,0,0,69,36,4.3,4,Climax Group,T
The Walking Dead: Season Two,PS4,2014,Adventure,Telltale Games,0.1,0.09,0.01,0.04,,,,,"",""
Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,0.5,0.07,0,0.05,56,6,6,7,Cooking Mama Limited,E
MLB 16: The Show,PS3,2016,Action,Sony Computer Entertainment,0.16,0,0,0.04,,,,,"",""
WRC 5: FIA World Rally Championship,PSV,2015,Sports,Bigben Interactive,0,0.02,0,0.01,,,,,"",""
Galaxy Racers,DS,2010,Racing,Ubisoft,0.04,0,0,0,,,,,KUNST-STOFF,E
Over the Hedge: Hammy Goes Nuts!,PSP,2006,Platform,Activision,0.05,0,0,0,58,7,,,Amaze Entertainment,E
Magical Starsign (US sales),DS,2006,Role-Playing,Nintendo,0.14,0.02,0,0,,,,,"",""
Porsche Challenge,PS,1997,Racing,Sony Computer Entertainment,0.05,0.03,0,0.01,,,,,"",""
Disney's Donald Duck Advance,GBA,2001,Platform,Ubisoft,0.05,0.02,0,0,,,,,"",""
Kenka Banchou 5: Otoko no Housoku,PSP,2011,Action,Spike,0,0,0.14,0,,,,,"",""
Looney Tunes: Back in Action,GC,2003,Platform,Warner Bros. Interactive Entertainment,0.13,0.03,0,0,64,6,5,4,Warthog,E
Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.8,0,0.01,0.07,51,11,7.8,17,Ubisoft,E
Super Monkey Ball: Step & Roll,Wii,2010,Action,Sega,0.15,0.19,0,0.04,,,,,"",""
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016,Misc,Namco Bandai Games,0,0,0.03,0,,,,,"",""
Congo Bongo,2600,1982,Action,Sega,0.37,0.02,0,0,,,,,"",""
Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,0.53,0.15,0,0.03,77,41,7.9,16,"id Software, Nerve Software",M
Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,0.68,0.14,0.35,0.02,,,,,"",""
The House of the Dead 2,DC,1998,Shooter,Sega,0,0,0.26,0,,,,,"",""
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,3DS,2012,Action,Namco Bandai Games,0,0,0.08,0,,,,,"",""
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,66,22,7.1,156,Traveller's Tales,E
Spy Kids 3-D: Game Over,GBA,2003,Platform,Disney Interactive Studios,0.24,0.09,0,0.01,62,4,7.7,6,Digital Eclipse,E
"Sakura Wars 2: Kimi, Shinitamou koto Nakare",DC,2000,Adventure,Sega,0,0,0.1,0,,,,,"",""
Rabbids Invasion: The Interactive TV Show,XOne,2014,Misc,Ubisoft,0,0.01,0,0,,,,,"",""
Mahou Sensei Negima!? Neo-Pactio Fight!!,Wii,2007,Fighting,Marvelous Interactive,0,0,0.01,0,,,,,"",""
Naruto: Gekito Ninja Taisen! 4,GC,2005,Fighting,Tomy Corporation,0,0,0.32,0.01,,,,,"",""
WCW Nitro,N64,1998,Fighting,THQ,0.17,0.04,0,0,,,,,"",""
TV Show King Party,Wii,2008,Puzzle,Ubisoft,0.18,0.4,0,0.08,,,,,Gameloft,T
Disney Sing It! High School Musical 3: Senior Year,X360,2009,Misc,Disney Interactive Studios,0.09,0,0,0.01,,,,,"",""
Salon Superstar,DS,2009,Simulation,505 Games,0.07,0,0,0,,,,,505 Games,E
Style Lab: Makeover,DS,2009,Simulation,Ubisoft,0.34,0.03,0,0.03,,,,,Ubisoft,E
Create,Wii,2010,Action,Electronic Arts,0.2,0.02,0,0.02,62,7,,,EA Bright Light,E
Harry Potter and the Order of the Phoenix,Wii,2007,Action,Electronic Arts,0.38,0.05,0,0.04,69,34,7.2,28,EA Games,E10+
Pop'n Music Portable 2,PSP,2011,Misc,Konami Digital Entertainment,0,0,0.06,0,,,,,"",""
Polarium,DS,2004,Puzzle,Nintendo,0.13,0.01,0.11,0.01,73,34,8.4,17,Mitchell,E
Shonen Jump's One Piece: Grand Adventure,PS2,2005,Fighting,Namco Bandai Games,0.01,0.01,0,0,,,,,"",""
NASCAR Heat 2002,PS2,2001,Racing,Infogrames,0.29,0.23,0,0.08,81,14,,,Monster Games Inc.,E
Dora's Big Birthday Adventure,PS2,2010,Misc,Take-Two Interactive,0.02,0.01,0,0,,,,,2K Play,E
Saka Agari Hurricane Portable,PSP,2011,Adventure,Alchemist,0,0,0.03,0,,,,,"",""
FIFA 15,3DS,2014,Sports,Electronic Arts,0.09,0.34,0,0.03,,,2.4,35,EA Sports,E
Brunswick Circuit Pro Bowling,N64,1999,Sports,THQ,0.05,0.01,0,0,,,,,"",""
Enslaved: Odyssey to the West,X360,2010,Action,Namco Bandai Games,0.3,0.19,0,0.05,82,72,7.8,295,Ninja Theory,T
Warriors Orochi 3,PSV,2013,Action,Tecmo Koei,0,0,0.07,0,,,,,"",""
NBA 07,PS2,2006,Sports,Sony Computer Entertainment,0.01,0.01,0,0,63,24,6.8,5,SCEA,E
Uta no * Prince-Sama,PSP,2010,Adventure,Broccoli,0,0,0.02,0,,,,,"",""
Robotech: Battlecry,PS2,2002,Shooter,TDK Mediactive,0.3,0.23,0,0.08,72,20,8.5,8,Vicious Cycle,T
Nodame Cantabile,PS2,2007,Misc,Banpresto,0,0,0.01,0,,,,,"",""
Pro Evolution Soccer 2015,X360,2014,Sports,Konami Digital Entertainment,0.05,0.08,0,0.01,,,6.8,29,Konami,E
LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.31,0.23,0.03,0.05,,,7.2,11,TT Games,E10+
Minority Report: Everybody Runs,GC,2002,Action,Activision,0.08,0.02,0,0,53,19,,,Treyarch,T
Otometeki Koi Kakumei * Love Revo,PS2,2006,Adventure,Interchannel,0,0,0.03,0,,,,,"",""
1701 A.D.,PC,2006,Simulation,Deep Silver,0,0.25,0,0.04,79,30,8.3,38,Related Designs,E10+
Bode Miller Alpine Skiing,PS2,2006,Sports,Valcon Games,0.01,0.01,0,0,,,6.6,5,49Games,E
The Idolmaster: Gravure For You! Vol.7,PS3,2012,Action,Namco Bandai Games,0,0,0.02,0,,,,,"",""
Gensou Suikoden I & II,PSP,2006,Role-Playing,Konami Digital Entertainment,0,0,0.03,0,,,,,"",""
Jampack Winter '99,PS,1999,Misc,Sony Computer Entertainment,0.94,0.64,0,0.11,,,,,"",""
SplashDown,XB,2002,Racing,Atari,0.09,0.02,0,0,78,15,,,Rainbow Studios,E
Sonic PC Collection,PC,2009,Misc,Sega,0,0.04,0,0,,,,,"",""
God Hand,PS2,2006,Action,Capcom,0,0,0.07,0,73,48,7.7,165,Clover Studio,M
Pet Vet: Down Under,DS,2009,Simulation,Deep Silver,0.04,0,0,0,,,,,Braingame,E
Jikkyou Oshaberi Parodius,SNES,1995,Shooter,Konami Digital Entertainment,0,0,0.05,0,,,,,"",""
Ghostbusters: The Video Game,PSP,2009,Action,Atari,0.16,0.01,0,0.02,54,13,4.7,13,Red Fly Studio,E10+
Army Men: Green Rogue,PS,2001,Action,3DO,0.04,0.02,0,0,,,,,"",""
The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.34,0.13,0.12,,,7.6,193,Tango Gameworks,M
Spawn: Armageddon,XB,2003,Action,Electronic Arts,0.13,0.04,0,0.01,57,27,9.2,5,Point of View,M
Slam Dunk: Yonkyo Taiketsu!!,SNES,1994,Sports,Namco Bandai Games,0,0,0.27,0,,,,,"",""
Jampack Vol. 1,PS,1996,Misc,Sony Computer Entertainment,0.1,0.07,0,0.01,,,,,"",""
Solitaire Overload,DS,2007,Misc,Telegames,0.39,0,0,0.03,,,9.2,12,Telegames,E
Gundam Battle Royale,PSP,2006,Action,Namco Bandai Games,0,0,0.12,0,,,,,"",""
Dragon's Dogma Online,PS4,2015,Role-Playing,Capcom,0,0,0.08,0,,,,,"",""
Kingdom: Ikkitousen no Ken,PSP,2010,Action,Konami Digital Entertainment,0,0,0.02,0,,,,,"",""
UFC: Tapout,XB,2002,Fighting,Crave Entertainment,0.14,0.05,0,0.01,,,,,"",""
Cranium Kabookii,Wii,2007,Misc,Ubisoft,0.13,0,0,0.01,64,9,5.4,13,Ubisoft Quebec,E
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0,0,74,22,8.5,135,Chris Sawyer,E
